"學號","院別碼","學院名","系所碼","系所名","score","入學管道碼","入學管道"
410011479,"CG","文學院","1","中國文學系",70,"B1D","學士班指考"
410011481,"CG","文學院","1","中國文學系",46,"B1D","學士班指考"
410011508,"CG","文學院","1","中國文學系",74,"B1D","學士班指考"
410011510,"CG","文學院","1","中國文學系",66,"B1D","學士班指考"
410011522,"CG","文學院","1","中國文學系",66,"B1D","學士班指考"
410011534,"CG","文學院","1","中國文學系",69,"B1D","學士班指考"
410011546,"CG","文學院","1","中國文學系",75,"B1D","學士班指考"
410011558,"CG","文學院","1","中國文學系",10,"B1D","學士班指考"
410011560,"CG","文學院","1","中國文學系",66,"B1D","學士班指考"
410011572,"CG","文學院","1","中國文學系",83,"B1D","學士班指考"
410011584,"CG","文學院","1","中國文學系",23,"B1D","學士班指考"
410011596,"CG","文學院","1","中國文學系",72,"B1D","學士班指考"
410011601,"CG","文學院","1","中國文學系",72,"B1D","學士班指考"
410011613,"CG","文學院","1","中國文學系",77,"B1D","學士班指考"
410011625,"CG","文學院","1","中國文學系",34,"B1D","學士班指考"
410011637,"CG","文學院","1","中國文學系",79,"B1D","學士班指考"
410011649,"CG","文學院","1","中國文學系",69,"B1D","學士班指考"
410012033,"CG","文學院","1","中國文學系",27,"B2B","申請入學外籍生"
410012045,"CG","文學院","1","中國文學系",65,"B3A","分發入學僑生"
410012057,"CG","文學院","1","中國文學系",80,"B6C","繁星推薦一般考生"
410012069,"CG","文學院","1","中國文學系",76,"B6C","繁星推薦一般考生"
410012071,"CG","文學院","1","中國文學系",83,"B6C","繁星推薦一般考生"
410012083,"CG","文學院","1","中國文學系",83,"B6C","繁星推薦一般考生"
410012095,"CG","文學院","1","中國文學系",77,"B6C","繁星推薦一般考生"
410012100,"CG","文學院","1","中國文學系",80,"B6C","繁星推薦一般考生"
410012112,"CG","文學院","1","中國文學系",81,"B6C","繁星推薦一般考生"
410012124,"CG","文學院","1","中國文學系",81,"B6C","繁星推薦一般考生"
410012136,"CG","文學院","1","中國文學系",34,"B6C","繁星推薦一般考生"
410012150,"CG","文學院","1","中國文學系",65,"B2D","申請入學學士班"
410012162,"CG","文學院","1","中國文學系",78,"B2D","申請入學學士班"
410012174,"CG","文學院","1","中國文學系",89,"B2D","申請入學學士班"
410012186,"CG","文學院","1","中國文學系",80,"B2D","申請入學學士班"
410012198,"CG","文學院","1","中國文學系",82,"B2D","申請入學學士班"
410012203,"CG","文學院","1","中國文學系",76,"B2D","申請入學學士班"
410012215,"CG","文學院","1","中國文學系",89,"B2D","申請入學學士班"
410012227,"CG","文學院","1","中國文學系",70,"B2D","申請入學學士班"
410012239,"CG","文學院","1","中國文學系",70,"B2D","申請入學學士班"
410012253,"CG","文學院","1","中國文學系",74,"B2D","申請入學學士班"
410012265,"CG","文學院","1","中國文學系",82,"B2D","申請入學學士班"
410012277,"CG","文學院","1","中國文學系",73,"B2D","申請入學學士班"
410012289,"CG","文學院","1","中國文學系",83,"B2D","申請入學學士班"
410012291,"CG","文學院","1","中國文學系",77,"B2D","申請入學學士班"
410012306,"CG","文學院","1","中國文學系",73,"B2D","申請入學學士班"
410012318,"CG","文學院","1","中國文學系",83,"B2D","申請入學學士班"
410012320,"CG","文學院","1","中國文學系",76,"B2D","申請入學學士班"
410012332,"CG","文學院","1","中國文學系",73,"B2D","申請入學學士班"
410012344,"CG","文學院","1","中國文學系",76,"B2D","申請入學學士班"
410012356,"CG","文學院","1","中國文學系",83,"B2D","申請入學學士班"
410012368,"CG","文學院","1","中國文學系",70,"B2D","申請入學學士班"
410012370,"CG","文學院","1","中國文學系",82,"B2D","申請入學學士班"
410012382,"CG","文學院","1","中國文學系",70,"B2D","申請入學學士班"
410012394,"CG","文學院","1","中國文學系",80,"B2D","申請入學學士班"
410012409,"CG","文學院","1","中國文學系",62,"B2D","申請入學學士班"
410012411,"CG","文學院","1","中國文學系",78,"B2D","申請入學學士班"
410012423,"CG","文學院","1","中國文學系",71,"B2D","申請入學學士班"
410012447,"CG","文學院","1","中國文學系",81,"B3A","分發入學僑生"
410012459,"CG","文學院","1","中國文學系",72,"B1D","學士班指考"
410012461,"CG","文學院","1","中國文學系",63,"B1D","學士班指考"
410012473,"CG","文學院","1","中國文學系",37,"B1D","學士班指考"
410012485,"CG","文學院","1","中國文學系",67,"B1D","學士班指考"
410012502,"CG","文學院","1","中國文學系",89,"B1D","學士班指考"
410012514,"CG","文學院","1","中國文學系",75,"B1D","學士班指考"
410012538,"CG","文學院","1","中國文學系",81,"B1D","學士班指考"
410012540,"CG","文學院","1","中國文學系",78,"B1D","學士班指考"
410012552,"CG","文學院","1","中國文學系",65,"B1D","學士班指考"
410012564,"CG","文學院","1","中國文學系",69,"B1D","學士班指考"
410012576,"CG","文學院","1","中國文學系",72,"B1D","學士班指考"
410012588,"CG","文學院","1","中國文學系",23,"B1D","學士班指考"
410012590,"CG","文學院","1","中國文學系",48,"B1D","學士班指考"
410012605,"CG","文學院","1","中國文學系",83,"B1D","學士班指考"
410012617,"CG","文學院","1","中國文學系",58,"B1D","學士班指考"
410012629,"CG","文學院","1","中國文學系",82,"B1D","學士班指考"
410012631,"CG","文學院","1","中國文學系",77,"B1D","學士班指考"
410012643,"CG","文學院","1","中國文學系",54,"B1D","學士班指考"
410021010,"CG","文學院","2","歷史學系",79,"B3A","分發入學僑生"
410021022,"CG","文學院","2","歷史學系",70,"B2A","申請入學僑生"
410021046,"CG","文學院","2","歷史學系",81,"B6C","繁星推薦一般考生"
410021058,"CG","文學院","2","歷史學系",87,"B6C","繁星推薦一般考生"
410021060,"CG","文學院","2","歷史學系",75,"B6C","繁星推薦一般考生"
410021072,"CG","文學院","2","歷史學系",83,"B6C","繁星推薦一般考生"
410021084,"CG","文學院","2","歷史學系",81,"B6C","繁星推薦一般考生"
410021096,"CG","文學院","2","歷史學系",78,"B6C","繁星推薦一般考生"
410021101,"CG","文學院","2","歷史學系",82,"B6C","繁星推薦一般考生"
410021113,"CG","文學院","2","歷史學系",92,"B2D","申請入學學士班"
410021125,"CG","文學院","2","歷史學系",91,"B2D","申請入學學士班"
410021137,"CG","文學院","2","歷史學系",83,"B2D","申請入學學士班"
410021149,"CG","文學院","2","歷史學系",80,"B2D","申請入學學士班"
410021151,"CG","文學院","2","歷史學系",88,"B2D","申請入學學士班"
410021163,"CG","文學院","2","歷史學系",77,"B2D","申請入學學士班"
410021175,"CG","文學院","2","歷史學系",87,"B2D","申請入學學士班"
410021187,"CG","文學院","2","歷史學系",86,"B2D","申請入學學士班"
410021199,"CG","文學院","2","歷史學系",83,"B2D","申請入學學士班"
410021204,"CG","文學院","2","歷史學系",89,"B2D","申請入學學士班"
410021216,"CG","文學院","2","歷史學系",83,"B2D","申請入學學士班"
410021228,"CG","文學院","2","歷史學系",83,"B2D","申請入學學士班"
410021230,"CG","文學院","2","歷史學系",85,"B2D","申請入學學士班"
410021242,"CG","文學院","2","歷史學系",86,"B2D","申請入學學士班"
410021254,"CG","文學院","2","歷史學系",80,"B2D","申請入學學士班"
410021266,"CG","文學院","2","歷史學系",87,"B2D","申請入學學士班"
410021278,"CG","文學院","2","歷史學系",64,"B2D","申請入學學士班"
410021280,"CG","文學院","2","歷史學系",61,"B2D","申請入學學士班"
410021292,"CG","文學院","2","歷史學系",83,"B2D","申請入學學士班"
410021307,"CG","文學院","2","歷史學系",81,"B2D","申請入學學士班"
410021319,"CG","文學院","2","歷史學系",85,"B2D","申請入學學士班"
410021321,"CG","文學院","2","歷史學系",75,"B2D","申請入學學士班"
410021333,"CG","文學院","2","歷史學系",61,"B2D","申請入學學士班"
410021345,"CG","文學院","2","歷史學系",63,"B2D","申請入學學士班"
410021357,"CG","文學院","2","歷史學系",75,"B2D","申請入學學士班"
410021395,"CG","文學院","2","歷史學系",59,"B1D","學士班指考"
410021400,"CG","文學院","2","歷史學系",31,"B1D","學士班指考"
410021424,"CG","文學院","2","歷史學系",71,"B1D","學士班指考"
410021436,"CG","文學院","2","歷史學系",72,"B1D","學士班指考"
410021448,"CG","文學院","2","歷史學系",79,"B1D","學士班指考"
410021450,"CG","文學院","2","歷史學系",49,"B1D","學士班指考"
410021462,"CG","文學院","2","歷史學系",81,"B1D","學士班指考"
410021474,"CG","文學院","2","歷史學系",65,"B1D","學士班指考"
410021486,"CG","文學院","2","歷史學系",81,"B1D","學士班指考"
410021498,"CG","文學院","2","歷史學系",74,"B1D","學士班指考"
410021503,"CG","文學院","2","歷史學系",77,"B1D","學士班指考"
410021515,"CG","文學院","2","歷史學系",84,"B1D","學士班指考"
410021527,"CG","文學院","2","歷史學系",74,"B1D","學士班指考"
410021539,"CG","文學院","2","歷史學系",84,"B1D","學士班指考"
410021541,"CG","文學院","2","歷史學系",85,"B1D","學士班指考"
410021565,"CG","文學院","2","歷史學系",79,"B1D","學士班指考"
410021577,"CG","文學院","2","歷史學系",80,"B1D","學士班指考"
410021589,"CG","文學院","2","歷史學系",73,"B1D","學士班指考"
410021591,"CG","文學院","2","歷史學系",85,"B1D","學士班指考"
410021606,"CG","文學院","2","歷史學系",87,"B1D","學士班指考"
410021618,"CG","文學院","2","歷史學系",72,"B1D","學士班指考"
410021620,"CG","文學院","2","歷史學系",87,"B1D","學士班指考"
410021632,"CG","文學院","2","歷史學系",60,"B1D","學士班指考"
410022038,"CG","文學院","2","歷史學系",49,"B3A","分發入學僑生"
410022040,"CG","文學院","2","歷史學系",71,"B6C","繁星推薦一般考生"
410022064,"CG","文學院","2","歷史學系",85,"B6C","繁星推薦一般考生"
410022076,"CG","文學院","2","歷史學系",46,"B6C","繁星推薦一般考生"
410022088,"CG","文學院","2","歷史學系",79,"B6C","繁星推薦一般考生"
410022090,"CG","文學院","2","歷史學系",82,"B6C","繁星推薦一般考生"
410022117,"CG","文學院","2","歷史學系",79,"B2D","申請入學學士班"
410022129,"CG","文學院","2","歷史學系",85,"B2D","申請入學學士班"
410022131,"CG","文學院","2","歷史學系",80,"B2D","申請入學學士班"
410022155,"CG","文學院","2","歷史學系",83,"B2D","申請入學學士班"
410022167,"CG","文學院","2","歷史學系",54,"B2D","申請入學學士班"
410022179,"CG","文學院","2","歷史學系",80,"B2D","申請入學學士班"
410022181,"CG","文學院","2","歷史學系",75,"B2D","申請入學學士班"
410022193,"CG","文學院","2","歷史學系",50,"B2D","申請入學學士班"
410022208,"CG","文學院","2","歷史學系",72,"B2D","申請入學學士班"
410022210,"CG","文學院","2","歷史學系",73,"B2D","申請入學學士班"
410022222,"CG","文學院","2","歷史學系",81,"B2D","申請入學學士班"
410022234,"CG","文學院","2","歷史學系",68,"B2D","申請入學學士班"
410022246,"CG","文學院","2","歷史學系",82,"B2D","申請入學學士班"
410022258,"CG","文學院","2","歷史學系",74,"B2D","申請入學學士班"
410022260,"CG","文學院","2","歷史學系",75,"B2D","申請入學學士班"
410022272,"CG","文學院","2","歷史學系",81,"B2D","申請入學學士班"
410022296,"CG","文學院","2","歷史學系",74,"B2D","申請入學學士班"
410022301,"CG","文學院","2","歷史學系",77,"B2D","申請入學學士班"
410022313,"CG","文學院","2","歷史學系",79,"B2D","申請入學學士班"
410022325,"CG","文學院","2","歷史學系",79,"B2D","申請入學學士班"
410022337,"CG","文學院","2","歷史學系",72,"B1D","學士班指考"
410022349,"CG","文學院","2","歷史學系",14,"B2D","申請入學學士班"
410022351,"CG","文學院","2","歷史學系",79,"B2D","申請入學學士班"
410022363,"CG","文學院","2","歷史學系",78,"B3A","分發入學僑生"
410022375,"CG","文學院","2","歷史學系",52,"B3A","分發入學僑生"
410022387,"CG","文學院","2","歷史學系",68,"B3A","分發入學僑生"
410022399,"CG","文學院","2","歷史學系",79,"B1D","學士班指考"
410022404,"CG","文學院","2","歷史學系",83,"B1D","學士班指考"
410022416,"CG","文學院","2","歷史學系",74,"B1D","學士班指考"
410022428,"CG","文學院","2","歷史學系",81,"B1D","學士班指考"
410022430,"CG","文學院","2","歷史學系",74,"B1D","學士班指考"
410022442,"CG","文學院","2","歷史學系",70,"B1D","學士班指考"
410022454,"CG","文學院","2","歷史學系",90,"B1D","學士班指考"
410022466,"CG","文學院","2","歷史學系",84,"B1D","學士班指考"
410022478,"CG","文學院","2","歷史學系",54,"B1D","學士班指考"
410022480,"CG","文學院","2","歷史學系",61,"B1D","學士班指考"
410022492,"CG","文學院","2","歷史學系",55,"B1D","學士班指考"
410022507,"CG","文學院","2","歷史學系",65,"B1D","學士班指考"
410022519,"CG","文學院","2","歷史學系",73,"B1D","學士班指考"
410022521,"CG","文學院","2","歷史學系",32,"B1D","學士班指考"
410022533,"CG","文學院","2","歷史學系",31,"B1D","學士班指考"
410022545,"CG","文學院","2","歷史學系",84,"B1D","學士班指考"
410022557,"CG","文學院","2","歷史學系",82,"B1D","學士班指考"
410022569,"CG","文學院","2","歷史學系",80,"B1D","學士班指考"
410022571,"CG","文學院","2","歷史學系",89,"B1D","學士班指考"
410022583,"CG","文學院","2","歷史學系",88,"B1D","學士班指考"
410022595,"CG","文學院","2","歷史學系",75,"B1D","學士班指考"
410022600,"CG","文學院","2","歷史學系",65,"B1D","學士班指考"
410022612,"CG","文學院","2","歷史學系",9,"B1D","學士班指考"
410022624,"CG","文學院","2","歷史學系",78,"B1D","學士班指考"
410031015,"CG","文學院","3","哲學系",17,"B5C","身心障礙甄試入學"
410031027,"CG","文學院","3","哲學系",84,"B3A","分發入學僑生"
410031039,"CG","文學院","3","哲學系",84,"B6C","繁星推薦一般考生"
410031041,"CG","文學院","3","哲學系",76,"B6C","繁星推薦一般考生"
410031053,"CG","文學院","3","哲學系",83,"B6C","繁星推薦一般考生"
410031065,"CG","文學院","3","哲學系",52,"B6C","繁星推薦一般考生"
410031077,"CG","文學院","3","哲學系",82,"B6C","繁星推薦一般考生"
410031089,"CG","文學院","3","哲學系",81,"B2D","申請入學學士班"
410031091,"CG","文學院","3","哲學系",75,"B2D","申請入學學士班"
410031106,"CG","文學院","3","哲學系",75,"B2D","申請入學學士班"
410031118,"CG","文學院","3","哲學系",81,"B2D","申請入學學士班"
410031132,"CG","文學院","3","哲學系",89,"B2D","申請入學學士班"
410031144,"CG","文學院","3","哲學系",71,"B2D","申請入學學士班"
410031156,"CG","文學院","3","哲學系",89,"B2D","申請入學學士班"
410031168,"CG","文學院","3","哲學系",85,"B2D","申請入學學士班"
410031170,"CG","文學院","3","哲學系",79,"B2D","申請入學學士班"
410031194,"CG","文學院","3","哲學系",69,"B2D","申請入學學士班"
410031209,"CG","文學院","3","哲學系",79,"B2D","申請入學學士班"
410031211,"CG","文學院","3","哲學系",83,"B2D","申請入學學士班"
410031223,"CG","文學院","3","哲學系",73,"B2D","申請入學學士班"
410031235,"CG","文學院","3","哲學系",65,"B2D","申請入學學士班"
410031247,"CG","文學院","3","哲學系",47,"B2D","申請入學學士班"
410031259,"CG","文學院","3","哲學系",80,"B2D","申請入學學士班"
410031261,"CG","文學院","3","哲學系",65,"B2D","申請入學學士班"
410031273,"CG","文學院","3","哲學系",62,"B2D","申請入學學士班"
410031285,"CG","文學院","3","哲學系",67,"B2D","申請入學學士班"
410031297,"CG","文學院","3","哲學系",63,"B2D","申請入學學士班"
410031302,"CG","文學院","3","哲學系",73,"B2D","申請入學學士班"
410031314,"CG","文學院","3","哲學系",74,"B2D","申請入學學士班"
410031326,"CG","文學院","3","哲學系",70,"B2D","申請入學學士班"
410031338,"CG","文學院","3","哲學系",76,"B2D","申請入學學士班"
410031340,"CG","文學院","3","哲學系",83,"B2D","申請入學學士班"
410031352,"CG","文學院","3","哲學系",59,"B2E","申請入學原住民"
410031364,"CG","文學院","3","哲學系",59,"B3A","分發入學僑生"
410031390,"CG","文學院","3","哲學系",74,"B1D","學士班指考"
410031405,"CG","文學院","3","哲學系",73,"B1D","學士班指考"
410031417,"CG","文學院","3","哲學系",33,"B1D","學士班指考"
410031429,"CG","文學院","3","哲學系",31,"B1D","學士班指考"
410031431,"CG","文學院","3","哲學系",80,"B1D","學士班指考"
410031443,"CG","文學院","3","哲學系",61,"B1D","學士班指考"
410031455,"CG","文學院","3","哲學系",58,"B1D","學士班指考"
410031467,"CG","文學院","3","哲學系",80,"B1D","學士班指考"
410031479,"CG","文學院","3","哲學系",46,"B1D","學士班指考"
410031481,"CG","文學院","3","哲學系",76,"B1D","學士班指考"
410031493,"CG","文學院","3","哲學系",69,"B1D","學士班指考"
410031508,"CG","文學院","3","哲學系",15,"B1D","學士班指考"
410031510,"CG","文學院","3","哲學系",84,"B1D","學士班指考"
410031522,"CG","文學院","3","哲學系",57,"B1D","學士班指考"
410031534,"CG","文學院","3","哲學系",76,"B1D","學士班指考"
410031546,"CG","文學院","3","哲學系",64,"B1D","學士班指考"
410031558,"CG","文學院","3","哲學系",88,"B1D","學士班指考"
410031560,"CG","文學院","3","哲學系",79,"B1D","學士班指考"
410031572,"CG","文學院","3","哲學系",56,"B1D","學士班指考"
410031596,"CG","文學院","3","哲學系",73,"B1D","學士班指考"
410031601,"CG","文學院","3","哲學系",64,"B1D","學士班指考"
410031613,"CG","文學院","3","哲學系",88,"B1D","學士班指考"
410031625,"CG","文學院","3","哲學系",82,"B1D","學士班指考"
410031637,"CG","文學院","3","哲學系",81,"B1D","學士班指考"
410032019,"CG","文學院","3","哲學系",12,"B5C","身心障礙甄試入學"
410032021,"CG","文學院","3","哲學系",86,"B6C","繁星推薦一般考生"
410032033,"CG","文學院","3","哲學系",79,"B6C","繁星推薦一般考生"
410032045,"CG","文學院","3","哲學系",86,"B6C","繁星推薦一般考生"
410032057,"CG","文學院","3","哲學系",83,"B6C","繁星推薦一般考生"
410032069,"CG","文學院","3","哲學系",74,"B6C","繁星推薦一般考生"
410032071,"CG","文學院","3","哲學系",85,"B2D","申請入學學士班"
410032083,"CG","文學院","3","哲學系",84,"B2D","申請入學學士班"
410032095,"CG","文學院","3","哲學系",88,"B2D","申請入學學士班"
410032100,"CG","文學院","3","哲學系",86,"B2D","申請入學學士班"
410032112,"CG","文學院","3","哲學系",86,"B2D","申請入學學士班"
410032124,"CG","文學院","3","哲學系",76,"B2D","申請入學學士班"
410032136,"CG","文學院","3","哲學系",86,"B2D","申請入學學士班"
410032150,"CG","文學院","3","哲學系",82,"B2D","申請入學學士班"
410032162,"CG","文學院","3","哲學系",79,"B2D","申請入學學士班"
410032174,"CG","文學院","3","哲學系",81,"B2D","申請入學學士班"
410032186,"CG","文學院","3","哲學系",66,"B2D","申請入學學士班"
410032203,"CG","文學院","3","哲學系",76,"B2D","申請入學學士班"
410032215,"CG","文學院","3","哲學系",71,"B2D","申請入學學士班"
410032227,"CG","文學院","3","哲學系",74,"B2D","申請入學學士班"
410032239,"CG","文學院","3","哲學系",78,"B2D","申請入學學士班"
410032241,"CG","文學院","3","哲學系",38,"B2D","申請入學學士班"
410032253,"CG","文學院","3","哲學系",82,"B2D","申請入學學士班"
410032265,"CG","文學院","3","哲學系",36,"B2D","申請入學學士班"
410032277,"CG","文學院","3","哲學系",76,"B2D","申請入學學士班"
410032289,"CG","文學院","3","哲學系",81,"B2D","申請入學學士班"
410032291,"CG","文學院","3","哲學系",79,"B2D","申請入學學士班"
410032306,"CG","文學院","3","哲學系",56,"B2D","申請入學學士班"
410032318,"CG","文學院","3","哲學系",74,"B2D","申請入學學士班"
410032320,"CG","文學院","3","哲學系",78,"B2D","申請入學學士班"
410032344,"CG","文學院","3","哲學系",71,"B2E","申請入學原住民"
410032356,"CG","文學院","3","哲學系",68,"B2E","申請入學原住民"
410032368,"CG","文學院","3","哲學系",75,"B3A","分發入學僑生"
410032382,"CG","文學院","3","哲學系",72,"B3A","分發入學僑生"
410032394,"CG","文學院","3","哲學系",71,"B1D","學士班指考"
410032409,"CG","文學院","3","哲學系",72,"B1D","學士班指考"
410032411,"CG","文學院","3","哲學系",64,"B1D","學士班指考"
410032423,"CG","文學院","3","哲學系",62,"B1D","學士班指考"
410032447,"CG","文學院","3","哲學系",68,"B1D","學士班指考"
410032459,"CG","文學院","3","哲學系",83,"B1D","學士班指考"
410032461,"CG","文學院","3","哲學系",43,"B1D","學士班指考"
410032473,"CG","文學院","3","哲學系",73,"B1D","學士班指考"
410032485,"CG","文學院","3","哲學系",60,"B1D","學士班指考"
410032502,"CG","文學院","3","哲學系",44,"B1D","學士班指考"
410032514,"CG","文學院","3","哲學系",64,"B1D","學士班指考"
410032526,"CG","文學院","3","哲學系",62,"B1D","學士班指考"
410032538,"CG","文學院","3","哲學系",61,"B1D","學士班指考"
410032540,"CG","文學院","3","哲學系",0,"B1D","學士班指考"
410032552,"CG","文學院","3","哲學系",74,"B1D","學士班指考"
410032564,"CG","文學院","3","哲學系",81,"B1D","學士班指考"
410032576,"CG","文學院","3","哲學系",66,"B1D","學士班指考"
410032588,"CG","文學院","3","哲學系",53,"B1D","學士班指考"
410032590,"CG","文學院","3","哲學系",71,"B1D","學士班指考"
410032605,"CG","文學院","3","哲學系",78,"B1D","學士班指考"
410032617,"CG","文學院","3","哲學系",88,"B1D","學士班指考"
410032629,"CG","文學院","3","哲學系",80,"B1D","學士班指考"
410032631,"CG","文學院","3","哲學系",70,"B1D","學士班指考"
410040016,"KG","教育學院","10","圖書資訊學系",88,"B3A","分發入學僑生"
410040028,"KG","教育學院","10","圖書資訊學系",89,"B2A","申請入學僑生"
410040030,"KG","教育學院","10","圖書資訊學系",86,"B2A","申請入學僑生"
410040042,"KG","教育學院","10","圖書資訊學系",86,"B2A","申請入學僑生"
410040054,"KG","教育學院","10","圖書資訊學系",80,"B3A","分發入學僑生"
410040078,"KG","教育學院","10","圖書資訊學系",83,"B6C","繁星推薦一般考生"
410040080,"KG","教育學院","10","圖書資訊學系",86,"B6C","繁星推薦一般考生"
410040092,"KG","教育學院","10","圖書資訊學系",85,"B6C","繁星推薦一般考生"
410040107,"KG","教育學院","10","圖書資訊學系",85,"B6C","繁星推薦一般考生"
410040119,"KG","教育學院","10","圖書資訊學系",85,"B6C","繁星推薦一般考生"
410040121,"KG","教育學院","10","圖書資訊學系",90,"B6C","繁星推薦一般考生"
410040133,"KG","教育學院","10","圖書資訊學系",82,"B6C","繁星推薦一般考生"
410040145,"KG","教育學院","10","圖書資訊學系",89,"B6C","繁星推薦一般考生"
410040157,"KG","教育學院","10","圖書資訊學系",68,"B2D","申請入學學士班"
410040169,"KG","教育學院","10","圖書資訊學系",80,"B2D","申請入學學士班"
410040171,"KG","教育學院","10","圖書資訊學系",85,"B2D","申請入學學士班"
410040183,"KG","教育學院","10","圖書資訊學系",84,"B2D","申請入學學士班"
410040195,"KG","教育學院","10","圖書資訊學系",89,"B2D","申請入學學士班"
410040200,"KG","教育學院","10","圖書資訊學系",86,"B2D","申請入學學士班"
410040212,"KG","教育學院","10","圖書資訊學系",78,"B2D","申請入學學士班"
410040224,"KG","教育學院","10","圖書資訊學系",88,"B2D","申請入學學士班"
410040236,"KG","教育學院","10","圖書資訊學系",76,"B2D","申請入學學士班"
410040248,"KG","教育學院","10","圖書資訊學系",90,"B2D","申請入學學士班"
410040250,"KG","教育學院","10","圖書資訊學系",87,"B2D","申請入學學士班"
410040262,"KG","教育學院","10","圖書資訊學系",82,"B2D","申請入學學士班"
410040274,"KG","教育學院","10","圖書資訊學系",79,"B2D","申請入學學士班"
410040286,"KG","教育學院","10","圖書資訊學系",84,"B2D","申請入學學士班"
410040298,"KG","教育學院","10","圖書資訊學系",83,"B2D","申請入學學士班"
410040303,"KG","教育學院","10","圖書資訊學系",81,"B2D","申請入學學士班"
410040315,"KG","教育學院","10","圖書資訊學系",77,"B2D","申請入學學士班"
410040327,"KG","教育學院","10","圖書資訊學系",83,"B2D","申請入學學士班"
410040339,"KG","教育學院","10","圖書資訊學系",88,"B2D","申請入學學士班"
410040341,"KG","教育學院","10","圖書資訊學系",81,"B2D","申請入學學士班"
410040353,"KG","教育學院","10","圖書資訊學系",78,"B2D","申請入學學士班"
410040365,"KG","教育學院","10","圖書資訊學系",75,"B2D","申請入學學士班"
410040377,"KG","教育學院","10","圖書資訊學系",76,"B2D","申請入學學士班"
410040389,"KG","教育學院","10","圖書資訊學系",86,"B2D","申請入學學士班"
410040391,"KG","教育學院","10","圖書資訊學系",83,"B2D","申請入學學士班"
410040406,"KG","教育學院","10","圖書資訊學系",82,"B2D","申請入學學士班"
410040418,"KG","教育學院","10","圖書資訊學系",86,"B2D","申請入學學士班"
410040420,"KG","教育學院","10","圖書資訊學系",69,"B2D","申請入學學士班"
410040432,"KG","教育學院","10","圖書資訊學系",85,"B2G","申請入學離島生"
410040468,"KG","教育學院","10","圖書資訊學系",61,"B1D","學士班指考"
410040470,"KG","教育學院","10","圖書資訊學系",83,"B1D","學士班指考"
